Country!Year!TotalCO2(Tonnes)!Population!PopulationString!emiperpop
Albania!1987!7.8687!3251512!3,251,512!2.42001259721631e-06
Albania!1988!7.9401!3336434!3,336,434!2.3798162948825e-06
Albania!1989!7.5574!3404408!3,404,408!2.21988668808204e-06
Albania!1990!6.6237!3446882!3,446,882!1.92164976926973e-06
Albania!1991!4.6804!3459763!3,459,763!1.35280942654164e-06
Albania!1992!2.8289!3446858!3,446,858!8.20718463017624e-07
Albania!1993!2.3089!3417280!3,417,280!6.7565432156569e-07
Albania!1994!2.3938!3384367!3,384,367!7.07310997891186e-07
Albania!1995!1.9589!3357858!3,357,858!5.83377855764002e-07
Albania!1996!1.9726!3341043!3,341,043!5.9041443046378e-07
Albania!1997!1.4813!3331317!3,331,317!4.44658974213502e-07
Albania!1998!1.7103!3325456!3,325,456!5.14305406536728e-07
Albania!1999!2.9813!3317941!3,317,941!8.98539184391766e-07
Albania!2000!3.1379!3304948!3,304,948!9.49455180535367e-07
Albania!2001!3.2!3286084!3,286,084!9.73803469418311e-07
Albania!2002!3.69!3263596!3,263,596!1.13065465210768e-06
Albania!2003!4.1495!3239385!3,239,385!1.28095302040356e-06
Albania!2004!4.4358!3216197!3,216,197!1.37920655979718e-06
Albania!2005!4.2355!3196130!3,196,130!1.32519640940763e-06
Albania!2006!4.1501!3179573!3,179,573!1.30523815619267e-06
Albania!2007!4.3133!3166222!3,166,222!1.36228603048049e-06
Albania!2008!4.268!3156608!3,156,608!1.35208426260087e-06
Albania!2009!4.0033!3151185!3,151,185!1.27041097238023e-06
Albania!2010!4.3385!3150143!3,150,143!1.37723906502022e-06
Albania!2011!3.87!3153883!3,153,883!1.22705883509312e-06
Algeria!1960!6.1555!11277757!11,277,757!5.45808887352334e-07
Algeria!1961!6.0639!11560650!11,560,650!5.24529330098221e-07
Algeria!1962!5.6682!11844928!11,844,928!4.78533934524549e-07
Algeria!1963!5.4227!12136371!12,136,371!4.46813961109132e-07
Algeria!1964!5.6462!12443175!12,443,175!4.53758787447737e-07
Algeria!1965!6.5879!12771084!12,771,084!5.15845013626095e-07
Algeria!1966!8.4235!13122912!13,122,912!6.4189259213199e-07
Algeria!1967!8.4382!13496577!13,496,577!6.25210377416437e-07
Algeria!1968!9.0501!13887045!13,887,045!6.51693718858116e-07
Algeria!1969!11.2705!14286826!14,286,826!7.88873609855681e-07
Algeria!1970!8.4052!14690855!14,690,855!5.72138245187227e-07
Algeria!1971!9.4!15098212!15,098,212!6.22590277577239e-07
Algeria!1972!10.4517!15511892!15,511,892!6.73786279584721e-07
Algeria!1973!11.902!15935594!15,935,594!7.46881478029623e-07
Algeria!1974!12.899!16374671!16,374,671!7.87741017819534e-07
Algeria!1975!14.5027!16833516!16,833,516!8.6153718569549e-07
Algeria!1976!17.1262!17311457!17,311,457!9.89298589945375e-07
Algeria!1977!19.1867!17808536!17,808,536!1.0773878324417e-06
Algeria!1978!23.5147!18330535!18,330,535!1.28281580433959e-06
Algeria!1979!29.5396!18884689!18,884,689!1.56420897373528e-06
Algeria!1980!50.4179!19475204!19,475,204!2.58882525697805e-06
Algeria!1981!48.8915!20103931!20,103,931!2.43193731613981e-06
Algeria!1982!51.1278!20766568!20,766,568!2.46202453867197e-06
Algeria!1983!54.2934!21453278!21,453,278!2.53077408496734e-06
Algeria!1984!52.5637!22150483!22,150,483!2.37302726085025e-06
Algeria!1985!55.7732!22847437!22,847,437!2.44111407332035e-06
Algeria!1986!62.0286!23539383!23,539,383!2.63509880441641e-06
Algeria!1987!63.7371!24225748!24,225,748!2.63096520280819e-06
Algeria!1988!65.3839!24904931!24,904,931!2.62533953617458e-06
Algeria!1989!65.4358!25576596!25,576,596!2.55842489751177e-06
Algeria!1990!69.5996!26239708!26,239,708!2.65245329711748e-06
Algeria!1991!68.635!26893663!26,893,663!2.5520882001087e-06
Algeria!1992!68.1796!27535151!27,535,151!2.47609319447712e-06
Algeria!1993!75.5554!28157560!28,157,560!2.68330778661219e-06
Algeria!1994!73.2444!28752749!28,752,749!2.54738772977846e-06
Algeria!1995!74.6878!29315463!29,315,463!2.54772711589102e-06
Algeria!1996!72.7802!29845208!29,845,208!2.43858913631964e-06
Algeria!1997!74.6757!30345466!30,345,466!2.46085197703011e-06
Algeria!1998!76.1473!30820435!30,820,435!2.47067570590746e-06
Algeria!1999!79.9153!31276295!31,276,295!2.55513960333217e-06
Algeria!2000!80.9427!31719449!31,719,449!2.55183184298063e-06
Algeria!2001!77.1518!32150198!32,150,198!2.39973016651406e-06
Algeria!2002!82.8558!32572977!32,572,977!2.54369749501251e-06
Algeria!2003!86.2931!33003442!33,003,442!2.61466970626882e-06
Algeria!2004!86.9744!33461345!33,461,345!2.59924997037627e-06
Algeria!2005!91.62!33960903!33,960,903!2.69780812365325e-06
Algeria!2006!96.291!34507214!34,507,214!2.79045998903302e-06
Algeria!2007!103.6753!35097043!35,097,043!2.95396110720781e-06
Algeria!2008!107.9449!35725377!35,725,377!3.02151884919227e-06
Algeria!2009!117.0327!36383302!36,383,302!3.21665966437021e-06
Algeria!2010!117.5341!37062820!37,062,820!3.17121309171833e-06
Algeria!2011!121.3781!37762962!37,762,962!3.21421026242592e-06
Angola!1960!0.5533!4965988!4,965,988!1.11417909185443e-07
Angola!1961!0.4507!5056688!5,056,688!8.91294855446885e-08
Angola!1962!1.1835!5150076!5,150,076!2.29802433983498e-07
Angola!1963!1.1505!5245015!5,245,015!2.19351136269391e-07
Angola!1964!1.2238!5339893!5,339,893!2.29180622158534e-07
Angola!1965!1.1871!5433841!5,433,841!2.1846425024214e-07
Angola!1966!1.5535!5526653!5,526,653!2.81092371820702e-07
Angola!1967!0.9929!5619643!5,619,643!1.76683821374418e-07
Angola!1968!1.6744!5715372!5,715,372!2.92964307485147e-07
Angola!1969!2.781!5817283!5,817,283!4.78058227526493e-07
Angola!1970!2.0995!5928087!5,928,087!3.541614689528e-07
Angola!1971!1.9238!6049214!6,049,214!3.18024788013782e-07
Angola!1972!2.7814!6180863!6,180,863!4.50001884850061e-07
