SAC,NOK,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
SAC,NOK,240,25,80,.313,3,13,.231,14,19,.737,10,26,36,13,8,5,18,25,67
SAC,NOK,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
SAC,NOK,240,35,73,.479,4,11,.364,19,22,.864,6,46,52,21,7,4,20,21,93
MIL,PHI,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
MIL,PHI,265,42,85,.494,6,13,.462,27,33,.818,14,39,53,26,3,3,17,25,117
MIL,PHI,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
MIL,PHI,265,41,95,.432,4,12,.333,22,29,.759,13,26,39,25,10,7,8,29,108
DAL,PHO,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
DAL,PHO,290,42,94,.447,8,18,.444,19,28,.679,14,41,55,16,9,6,21,30,111
DAL,PHO,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
DAL,PHO,290,42,96,.438,7,21,.333,17,23,.739,10,41,51,27,9,4,19,26,108
DEN,SAS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
DEN,SAS,240,41,84,.488,0,7,.000,9,15,.600,12,23,35,21,6,4,13,18,91
DEN,SAS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
DEN,SAS,240,41,82,.500,4,13,.308,16,21,.762,15,27,42,21,5,7,14,19,102
NYK,BOS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
NYK,BOS,265,38,84,.452,6,10,.600,18,33,.545,9,32,41,20,10,5,22,34,100
NYK,BOS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
NYK,BOS,265,37,88,.420,5,16,.313,35,47,.745,19,38,57,24,15,11,17,24,114
CHA,CHI,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
CHA,CHI,265,38,93,.409,2,12,.167,27,35,.771,18,38,56,22,13,3,18,31,105
CHA,CHI,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
CHA,CHI,265,39,91,.429,8,21,.381,23,33,.697,13,30,43,30,8,6,18,25,109
NOK,CLE,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
NOK,CLE,240,32,78,.410,4,12,.333,19,25,.760,10,23,33,17,8,6,12,24,87
NOK,CLE,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
