SAS,LAL,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
SAS,LAL,240,26,71,.366,3,10,.300,32,46,.696,11,41,52,15,15,11,20,26,87
SAS,LAL,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
SAS,LAL,240,27,85,.318,4,13,.308,24,30,.800,17,31,48,16,10,5,18,34,82
PHI,ORL,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
PHI,ORL,240,31,78,.397,2,8,.250,24,32,.750,11,35,46,19,10,1,20,22,88
PHI,ORL,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
PHI,ORL,240,36,81,.444,6,18,.333,17,22,.773,8,31,39,24,4,8,15,26,95
CLE,SAC,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
CLE,SAC,240,27,83,.325,1,4,.250,12,20,.600,17,29,46,14,7,5,20,20,67
CLE,SAC,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
CLE,SAC,240,36,80,.450,6,15,.400,16,23,.696,15,33,48,21,12,10,19,19,94
CHI,BOS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
CHI,BOS,240,39,78,.500,6,16,.375,15,25,.600,12,35,47,29,6,5,17,19,99
CHI,BOS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
CHI,BOS,240,36,77,.468,8,24,.333,16,23,.696,7,30,37,25,8,0,15,23,96
NYK,DET,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
NYK,DET,240,31,82,.378,3,12,.250,12,16,.750,9,24,33,17,10,4,11,29,77
NYK,DET,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
NYK,DET,240,27,68,.397,5,18,.278,27,33,.818,14,36,50,15,5,6,21,25,86
SAS,GSW,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
SAS,GSW,240,41,87,.471,6,18,.333,10,20,.500,22,20,42,25,10,6,19,21,98
SAS,GSW,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
SAS,GSW,240,40,83,.482,5,9,.556,21,26,.808,18,28,46,25,7,10,16,24,106
HOU,IND,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
HOU,IND,240,30,81,.370,3,7,.429,19,26,.731,16,34,50,9,8,8,17,21,82
HOU,IND,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
HOU,IND,240,36,85,.424,4,9,.444,15,27,.556,18,32,50,18,13,6,17,27,91
CLE,LAC,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
CLE,LAC,240,36,84,.429,0,1,.000,26,37,.703,19,28,47,21,10,5,10,19,98
CLE,LAC,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
CLE,LAC,240,38,75,.507,5,13,.385,15,21,.714,11,28,39,22,4,9,17,23,96
DAL,MEM,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
DAL,MEM,240,47,95,.495,10,24,.417,15,20,.750,13,33,46,32,11,3,13,25,119
DAL,MEM,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
DAL,MEM,240,43,77,.558,5,21,.238,17,32,.531,6,34,40,28,9,3,21,18,108
ORL,MIA,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
ORL,MIA,240,39,71,.549,8,12,.667,14,21,.667,9,29,38,22,5,2,13,19,100
ORL,MIA,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
ORL,MIA,240,36,78,.462,1,5,.200,13,17,.765,8,26,34,20,4,6,10,17,86
DEN,MIN,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
DEN,MIN,240,31,78,.397,5,19,.263,10,17,.588,13,35,48,19,5,4,21,22,77
DEN,MIN,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
DEN,MIN,240,34,82,.415,4,10,.400,11,17,.647,6,31,37,22,9,5,15,19,83
ATL,NJN,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
ATL,NJN,240,37,84,.440,5,16,.313,15,21,.714,11,23,34,19,14,13,19,23,94
ATL,NJN,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
ATL,NJN,240,40,87,.460,3,9,.333,22,28,.786,17,30,47,22,9,14,18,19,105
UTA,NOH,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
UTA,NOH,240,29,73,.397,0,3,.000,17,27,.630,15,28,43,17,4,2,20,25,75
UTA,NOH,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
UTA,NOH,240,35,80,.438,6,10,.600,24,33,.727,16,25,41,22,12,3,10,26,100
MIL,PHI,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
MIL,PHI,240,32,79,.405,10,24,.417,19,23,.826,6,29,35,19,11,6,16,25,93
MIL,PHI,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
MIL,PHI,240,31,86,.360,5,18,.278,28,37,.757,24,34,58,20,9,3,21,21,95
LAL,POR,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
LAL,POR,240,35,85,.412,6,21,.286,14,17,.824,15,26,41,24,8,6,19,21,90
LAL,POR,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
LAL,POR,240,39,85,.459,4,8,.500,20,30,.667,19,27,46,23,14,3,14,20,102
PHO,SEA,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
PHO,SEA,240,33,85,.388,0,10,.000,7,7,1.000,15,31,46,15,3,3,17,21,73
PHO,SEA,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
PHO,SEA,240,34,74,.459,6,13,.462,12,20,.600,10,26,36,22,10,8,12,19,86
WAS,TOR,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
WAS,TOR,240,24,81,.296,2,7,.286,18,25,.720,14,35,49,14,8,6,12,25,68
WAS,TOR,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
WAS,TOR,240,27,76,.355,3,15,.200,17,25,.680,13,40,53,20,8,4,20,24,74
UTA,ATL,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
UTA,ATL,240,33,77,.429,4,10,.400,28,33,.848,14,22,36,23,12,3,21,25,98
UTA,ATL,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
UTA,ATL,240,39,76,.513,3,14,.214,24,30,.800,12,27,39,26,9,6,22,27,105
POR,SAC,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
POR,SAC,240,31,85,.365,2,12,.167,8,18,.444,12,29,41,20,5,4,14,24,72
POR,SAC,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
POR,SAC,240,37,82,.451,5,16,.313,21,27,.778,8,37,45,21,6,5,9,21,100
BOS,WAS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
BOS,WAS,240,24,81,.296,7,31,.226,14,20,.700,8,23,31,14,5,1,12,23,69
BOS,WAS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
BOS,WAS,240,43,82,.524,4,13,.308,24,28,.857,15,44,59,27,8,7,14,19,114
NOH,CHI,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
NOH,CHI,240,30,78,.385,4,11,.364,15,21,.714,14,25,39,18,11,5,14,22,79
NOH,CHI,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
NOH,CHI,240,33,70,.471,3,7,.429,15,24,.625,12,29,41,19,7,2,22,25,84
HOU,DEN,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
HOU,DEN,240,28,74,.378,4,10,.400,23,28,.821,14,33,47,17,5,13,16,20,83
HOU,DEN,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
HOU,DEN,240,30,84,.357,3,10,.300,11,15,.733,12,29,41,21,8,9,13,23,74
MEM,DET,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
MEM,DET,240,33,75,.440,2,4,.500,18,21,.857,6,27,33,15,6,5,17,22,86
MEM,DET,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
MEM,DET,240,40,75,.533,8,15,.533,21,27,.778,6,35,41,29,6,4,14,29,109
