MIA,DAL,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
MIA,DAL,240,38,78,.487,4,7,.571,25,36,.694,15,36,51,18,9,6,22,28,105
MIA,DAL,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
MIA,DAL,240,31,82,.378,9,28,.321,23,30,.767,8,23,31,23,10,0,17,29,94
LAC,GSW,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
LAC,GSW,240,37,81,.457,8,23,.348,23,38,.605,13,30,43,22,9,8,10,19,105
LAC,GSW,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
LAC,GSW,240,32,82,.390,5,21,.238,17,24,.708,17,31,48,17,4,8,16,32,86
CHI,LAL,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
CHI,LAL,240,36,89,.404,7,15,.467,9,14,.643,16,25,41,21,14,4,14,21,88
CHI,LAL,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
CHI,LAL,240,36,76,.474,4,16,.250,11,20,.550,12,30,42,22,6,8,17,20,87
BOS,NYK,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
BOS,NYK,240,39,76,.513,2,5,.400,24,31,.774,13,28,41,28,7,5,18,28,104
BOS,NYK,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
BOS,NYK,240,35,74,.473,9,20,.450,27,34,.794,8,23,31,17,9,11,16,25,106
ORL,OKC,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
ORL,OKC,240,30,81,.370,8,28,.286,21,26,.808,14,31,45,18,7,4,18,25,89
ORL,OKC,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
ORL,OKC,240,34,72,.472,10,19,.526,19,26,.731,7,36,43,21,8,5,16,22,97
MIL,CHA,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
MIL,CHA,240,34,84,.405,8,23,.348,19,23,.826,8,31,39,21,6,2,12,20,95
MIL,CHA,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
MIL,CHA,240,38,86,.442,4,19,.211,16,21,.762,15,37,52,27,3,6,16,20,96
