BOS,CLE,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
BOS,CLE,240,.569,.507,18.8,84.2,54.3,62.5,10.2,15.1,14.4,100.0,107.2,100.4
BOS,CLE,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
BOS,CLE,240,.529,.457,15.8,81.3,45.7,58.6,7.9,17.0,13.4,100.0,100.4,107.2
WAS,DAL,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
WAS,DAL,240,.539,.488,22.5,77.1,52.3,48.7,6.7,5.6,8.7,100.0,113.9,101.6
WAS,DAL,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
WAS,DAL,240,.500,.421,22.9,77.5,47.7,53.3,6.7,15.5,9.0,100.0,101.6,113.9
LAC,LAL,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
LAC,LAL,240,.489,.466,33.3,67.9,52.0,69.2,10.3,5.6,17.5,100.0,94.4,101.6
LAC,LAL,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
LAC,LAL,240,.489,.435,32.1,66.7,48.0,48.6,13.3,5.9,13.6,100.0,101.6,94.4
HOU,POR,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
HOU,POR,240,.464,.401,20.4,65.7,39.3,60.0,12.4,3.2,14.6,100.0,90.1,99.4
HOU,POR,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
HOU,POR,240,.554,.494,34.3,79.6,60.7,69.7,9.3,21.4,23.1,100.0,99.4,90.1
IND,ATL,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
IND,ATL,240,.649,.603,18.2,81.0,53.3,59.0,1.0,7.3,22.9,100.0,108.1,119.0
IND,ATL,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
IND,ATL,240,.601,.569,19.0,81.8,46.7,65.2,15.9,8.0,9.1,100.0,119.0,108.1
CHA,BOS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
CHA,BOS,240,.347,.311,29.2,76.2,51.1,43.5,7.0,6.3,17.5,100.0,69.1,107.8
CHA,BOS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
CHA,BOS,240,.545,.507,23.8,70.8,48.9,84.8,11.7,17.0,12.5,100.0,107.8,69.1
UTA,DEN,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
UTA,DEN,240,.560,.494,26.3,67.4,48.1,70.3,3.1,5.6,13.8,100.0,108.7,118.0
UTA,DEN,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
UTA,DEN,240,.558,.511,32.6,73.7,51.9,51.2,5.2,7.9,11.3,100.0,118.0,108.7
HOU,GSW,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
HOU,GSW,240,.570,.535,31.7,68.3,50.0,75.0,14.3,11.7,16.0,100.0,110.6,109.6
HOU,GSW,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
HOU,GSW,240,.540,.517,31.7,68.3,50.0,56.8,7.2,10.3,13.9,100.0,109.6,110.6
PHO,LAC,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
PHO,LAC,240,.593,.556,26.3,78.8,50.7,46.3,6.4,7.7,13.2,100.0,115.4,113.3
PHO,LAC,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
PHO,LAC,240,.602,.597,21.2,73.7,49.3,62.8,9.5,10.9,14.4,100.0,113.3,115.4
DET,MEM,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
DET,MEM,240,.566,.556,23.8,63.0,44.3,54.1,6.1,7.1,9.6,100.0,117.1,90.3
DET,MEM,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
DET,MEM,240,.432,.375,37.0,76.2,55.7,38.5,3.7,5.0,14.1,100.0,90.3,117.1
NYK,MIA,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
NYK,MIA,240,.483,.437,25.0,79.4,47.6,57.6,8.3,6.3,11.9,100.0,97.0,119.9
NYK,MIA,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
NYK,MIA,240,.635,.608,20.6,75.0,52.4,44.7,6.3,4.4,15.0,100.0,119.9,97.0
NJN,MIN,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
NJN,MIN,240,.496,.420,30.4,67.9,51.0,58.8,4.1,13.7,19.0,100.0,94.9,96.9
NJN,MIN,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
NJN,MIN,240,.438,.371,32.1,69.6,49.0,41.2,15.3,2.3,8.4,100.0,96.9,94.9
SAC,OKC,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
SAC,OKC,240,.487,.424,23.3,77.1,47.4,40.6,6.8,7.9,11.6,100.0,100.3,115.0
SAC,OKC,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
SAC,OKC,240,.601,.566,22.9,76.7,52.6,51.3,4.5,9.7,12.4,100.0,115.0,100.3
PHI,ORL,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
PHI,ORL,240,.581,.545,21.6,76.5,47.9,48.7,9.6,10.0,12.5,100.0,112.9,127.9
PHI,ORL,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
PHI,ORL,240,.678,.654,23.5,78.4,52.1,62.2,5.3,11.5,14.5,100.0,127.9,112.9
NOH,SAS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
NOH,SAS,240,.547,.532,13.9,71.8,44.0,43.6,5.5,5.9,10.2,100.0,105.1,123.7
NOH,SAS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
NOH,SAS,240,.596,.576,28.2,86.1,56.0,64.4,4.4,0.0,9.5,100.0,123.7,105.1
CLE,TOR,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
CLE,TOR,240,.458,.404,24.1,83.7,50.5,65.5,4.1,3.3,12.4,100.0,94.0,104.4
CLE,TOR,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
CLE,TOR,240,.553,.487,16.3,75.9,49.5,67.6,4.1,10.2,12.5,100.0,104.4,94.0
SAS,CHI,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
SAS,CHI,240,.482,.449,17.8,70.6,45.8,45.5,5.5,8.8,12.9,100.0,94.2,102.0
SAS,CHI,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
SAS,CHI,240,.478,.435,29.4,82.2,54.2,57.1,5.5,13.2,8.5,100.0,102.0,94.2
DEN,POR,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
DEN,POR,240,.587,.484,14.3,68.9,45.0,39.3,7.0,6.0,8.8,100.0,113.9,110.4
DEN,POR,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
