SAS,LAL,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
SAS,LAL,240,.477,.387,26.2,70.7,52.0,57.7,15.5,18.0,18.0,100.0,89.9,84.7
SAS,LAL,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
SAS,LAL,240,.418,.341,29.3,73.8,48.0,59.3,10.3,6.9,15.5,100.0,84.7,89.9
PHI,ORL,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
PHI,ORL,240,.478,.410,26.2,81.4,54.1,61.3,10.3,1.4,17.8,100.0,91.0,98.2
PHI,ORL,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
PHI,ORL,240,.524,.481,18.6,73.8,45.9,66.7,4.1,12.7,14.2,100.0,98.2,91.0
CLE,SAC,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
CLE,SAC,240,.365,.331,34.0,65.9,48.9,51.9,7.7,6.3,17.9,100.0,73.3,102.9
CLE,SAC,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
CLE,SAC,240,.522,.488,34.1,66.0,51.1,58.3,13.1,15.4,17.4,100.0,102.9,73.3
CHI,BOS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
CHI,BOS,240,.556,.538,28.6,83.3,56.0,74.4,6.4,8.1,16.0,100.0,105.9,102.7
CHI,BOS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
CHI,BOS,240,.551,.519,16.7,71.4,44.0,69.4,8.6,0.0,14.7,100.0,102.7,105.9
NYK,DET,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
NYK,DET,240,.432,.396,20.0,63.2,39.8,54.8,11.5,5.7,11.0,100.0,88.2,98.6
NYK,DET,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
NYK,DET,240,.521,.434,36.8,80.0,60.2,55.6,5.7,12.0,20.3,100.0,98.6,88.2
SAS,GSW,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
SAS,GSW,240,.511,.506,44.0,52.6,47.7,61.0,11.1,8.7,16.6,100.0,108.9,117.8
SAS,GSW,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
SAS,GSW,240,.561,.512,47.4,56.0,52.3,62.5,7.8,13.5,14.5,100.0,117.8,108.9
HOU,IND,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
HOU,IND,240,.444,.389,33.3,65.4,50.0,30.0,8.7,10.8,15.5,100.0,88.7,98.5
HOU,IND,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
HOU,IND,240,.470,.447,34.6,66.7,50.0,50.0,14.1,7.9,14.9,100.0,98.5,88.7
CLE,LAC,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
CLE,LAC,240,.489,.429,40.4,71.8,54.7,58.3,11.3,6.0,9.1,100.0,110.6,108.3
CLE,LAC,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
CLE,LAC,240,.570,.540,28.2,59.6,45.3,57.9,4.5,14.5,16.8,100.0,108.3,110.6
DAL,MEM,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
DAL,MEM,240,.573,.547,27.7,84.6,53.5,68.1,10.6,4.2,11.1,100.0,115.0,104.3
DAL,MEM,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
DAL,MEM,240,.593,.591,15.4,72.3,46.5,65.1,8.7,5.4,18.7,100.0,104.3,115.0
ORL,MIA,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
ORL,MIA,240,.623,.606,25.7,78.4,52.8,56.4,5.9,3.4,13.9,100.0,118.6,102.0
ORL,MIA,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
ORL,MIA,240,.503,.468,21.6,74.3,47.2,55.6,4.7,8.2,10.5,100.0,102.0,118.6
DEN,MIN,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
DEN,MIN,240,.450,.429,29.5,85.4,56.5,61.3,5.3,6.8,19.7,100.0,82.3,88.7
DEN,MIN,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
DEN,MIN,240,.464,.439,14.6,70.5,43.5,64.7,9.6,6.9,14.4,100.0,88.7,82.3
ATL,NJN,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
ATL,NJN,240,.504,.470,26.8,57.5,42.0,51.4,14.5,19.1,16.9,100.0,97.5,109.0
ATL,NJN,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
ATL,NJN,240,.529,.477,42.5,73.2,58.0,55.0,9.3,17.9,15.3,100.0,109.0,97.5
UTA,NOH,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
UTA,NOH,240,.442,.397,37.5,63.6,51.2,58.6,4.7,2.9,19.1,100.0,87.3,116.4
UTA,NOH,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
UTA,NOH,240,.529,.475,36.4,62.5,48.8,62.9,14.0,4.3,9.6,100.0,116.4,87.3
MIL,PHI,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
MIL,PHI,240,.522,.468,15.0,54.7,37.6,59.4,11.5,10.9,15.2,100.0,97.0,99.1
MIL,PHI,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
MIL,PHI,240,.464,.390,45.3,85.0,62.4,64.5,9.4,4.4,17.0,100.0,99.1,97.0
LAL,POR,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
LAL,POR,240,.487,.447,35.7,57.8,47.1,68.6,8.8,9.4,17.0,100.0,98.9,112.1
LAL,POR,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
LAL,POR,240,.519,.482,42.2,64.3,52.9,59.0,15.4,3.9,12.5,100.0,112.1,98.9
