CLE,BOS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
CLE,BOS,240,.515,.449,23.5,76.7,53.2,55.2,8.6,3.8,20.3,100.0,91.5,96.9
CLE,BOS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
CLE,BOS,240,.506,.466,23.3,76.5,46.8,48.5,10.8,0.0,15.2,100.0,96.9,91.5
MIL,CHI,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
MIL,CHI,240,.547,.513,33.3,57.6,44.4,56.8,5.6,4.7,18.0,100.0,105.8,120.3
MIL,CHI,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
MIL,CHI,240,.611,.543,42.4,66.7,55.6,77.1,10.0,10.5,16.9,100.0,120.3,105.8
POR,LAL,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
POR,LAL,240,.421,.405,24.5,77.5,47.3,65.5,9.0,5.0,11.7,100.0,85.3,107.7
POR,LAL,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
POR,LAL,240,.552,.513,22.5,75.5,52.7,51.4,9.0,10.1,14.7,100.0,107.7,85.3
IND,DET,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
IND,DET,240,.589,.522,15.6,70.2,48.1,54.5,7.4,14.5,20.8,100.0,99.4,105.8
IND,DET,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
IND,DET,240,.510,.473,29.8,84.4,51.9,57.5,11.6,10.3,12.5,100.0,105.8,99.4
NOH,GSW,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
NOH,GSW,240,.575,.543,22.2,75.6,51.9,56.1,8.3,9.2,12.2,100.0,112.6,107.4
NOH,GSW,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
NOH,GSW,240,.536,.494,24.4,77.8,48.1,50.0,10.4,8.5,11.9,100.0,107.4,112.6
MEM,HOU,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
MEM,HOU,240,.409,.383,31.3,75.6,52.7,35.5,8.2,8.8,15.6,100.0,83.1,95.9
MEM,HOU,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
MEM,HOU,240,.471,.401,24.4,68.8,47.3,35.7,10.5,3.3,12.1,100.0,95.9,83.1
LAL,LAC,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
LAL,LAC,240,.619,.575,38.9,78.7,61.4,68.3,7.5,4.9,14.5,100.0,125.0,84.4
LAL,LAC,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
LAL,LAC,240,.448,.417,21.3,61.1,38.6,80.0,9.6,8.9,17.0,100.0,84.4,125.0
SAC,MIN,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
