WAS,CLE,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
WAS,CLE,240,32,90,.356,8,32,.250,12,20,.600,18,21,39,26,11,10,12,19,84
WAS,CLE,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
WAS,CLE,240,36,79,.456,7,20,.350,15,22,.682,18,36,54,22,7,5,20,21,94
DAL,LAL,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
DAL,LAL,240,40,85,.471,5,15,.333,14,18,.778,9,31,40,22,9,5,11,25,99
DAL,LAL,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
DAL,LAL,240,38,77,.494,3,13,.231,12,31,.387,15,31,46,24,6,5,14,21,91
BOS,MIA,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
BOS,MIA,240,39,75,.520,6,13,.462,23,28,.821,7,34,41,24,4,2,15,23,107
BOS,MIA,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
BOS,MIA,240,43,79,.544,8,16,.500,26,32,.813,5,31,36,25,8,5,8,20,120
SAC,CHI,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
SAC,CHI,240,34,84,.405,6,17,.353,13,16,.813,11,29,40,14,10,5,19,29,87
SAC,CHI,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
SAC,CHI,240,33,79,.418,2,9,.222,25,33,.758,14,32,46,21,8,10,18,19,93
HOU,DET,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
HOU,DET,240,39,79,.494,10,27,.370,17,23,.739,12,33,45,28,12,3,20,24,105
HOU,DET,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
HOU,DET,240,35,79,.443,6,16,.375,20,26,.769,10,26,36,21,12,4,16,15,96
MEM,LAC,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
MEM,LAC,240,33,86,.384,2,14,.143,24,30,.800,17,27,44,24,14,4,18,25,92
MEM,LAC,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
MEM,LAC,240,38,74,.514,5,15,.333,20,29,.690,8,31,39,25,12,9,22,27,101
SAS,NOH,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
SAS,NOH,240,38,80,.475,6,20,.300,17,26,.654,10,33,43,22,9,8,15,21,99
SAS,NOH,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
SAS,NOH,240,35,80,.438,4,17,.235,21,23,.913,9,34,43,26,7,6,13,20,95
DEN,PHI,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
DEN,PHI,240,33,88,.375,4,18,.222,5,11,.455,16,38,54,19,9,5,20,22,75
DEN,PHI,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
DEN,PHI,240,30,85,.353,7,25,.280,17,21,.810,14,33,47,18,13,11,15,14,84
GSW,PHO,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
GSW,PHO,240,33,86,.384,5,17,.294,16,23,.696,17,32,49,19,9,3,18,20,87
GSW,PHO,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
GSW,PHO,240,32,80,.400,4,21,.190,17,22,.773,11,33,44,16,10,12,18,23,85
LAL,POR,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
LAL,POR,240,36,72,.500,8,18,.444,26,32,.813,15,30,45,21,6,2,24,29,106
LAL,POR,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
LAL,POR,240,42,83,.506,9,20,.450,23,28,.821,10,20,30,19,10,5,12,20,116
IND,TOR,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
IND,TOR,240,37,78,.474,5,11,.455,11,16,.688,9,37,46,22,3,10,18,16,90
IND,TOR,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
IND,TOR,240,33,91,.363,6,17,.353,16,19,.842,15,27,42,18,12,8,10,18,88
DAL,UTA,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
DAL,UTA,240,32,85,.376,11,22,.500,19,26,.731,8,32,40,20,8,5,16,32,94
DAL,UTA,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
DAL,UTA,240,38,89,.427,6,14,.429,31,42,.738,20,41,61,24,10,8,14,25,113
OKC,SAS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
OKC,SAS,240,29,77,.377,7,17,.412,19,23,.826,12,36,48,18,6,5,18,20,84
OKC,SAS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
OKC,SAS,240,35,79,.443,5,19,.263,11,16,.688,6,33,39,27,9,4,13,21,86
HOU,ATL,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
HOU,ATL,240,38,90,.422,8,30,.267,25,29,.862,23,35,58,22,8,2,21,18,109
HOU,ATL,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
HOU,ATL,240,40,85,.471,7,22,.318,15,17,.882,7,29,36,23,12,4,13,26,102
MIL,BOS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
MIL,BOS,240,40,86,.465,8,18,.444,11,12,.917,11,35,46,26,12,5,18,17,99
MIL,BOS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
MIL,BOS,240,33,74,.446,5,14,.357,17,21,.810,6,30,36,22,9,4,18,18,88
IND,CHA,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
IND,CHA,240,33,83,.398,7,26,.269,16,27,.593,14,38,52,19,5,5,17,16,89
IND,CHA,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
IND,CHA,240,31,85,.365,7,19,.368,21,24,.875,10,31,41,18,10,9,10,22,90
