PHO,LAL,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
PHO,LAL,240,.627,.604,11.4,67.6,40.3,72.5,7.0,10.6,19.9,100.0,106.0,114.0
PHO,LAL,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
PHO,LAL,240,.609,.590,32.4,88.6,59.7,65.2,11.0,1.4,17.6,100.0,114.0,106.0
CHI,MIA,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
CHI,MIA,240,.580,.538,34.2,90.0,62.8,56.4,10.9,7.6,14.7,100.0,117.6,71.9
CHI,MIA,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
CHI,MIA,240,.442,.408,10.0,65.8,37.2,52.0,6.5,6.3,21.9,100.0,71.9,117.6
NOK,BOS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
NOK,BOS,240,.462,.435,19.2,78.3,46.9,47.2,6.0,5.5,13.2,100.0,90.3,86.4
NOK,BOS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
NOK,BOS,240,.472,.420,21.7,80.8,53.1,60.0,5.0,10.2,17.1,100.0,86.4,90.3
IND,CHA,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
IND,CHA,240,.509,.442,34.0,74.4,52.1,74.3,13.8,7.1,14.0,100.0,104.7,97.8
IND,CHA,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
IND,CHA,240,.538,.500,25.6,66.0,47.9,62.2,7.9,10.3,19.3,100.0,97.8,104.7
WAS,CLE,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
WAS,CLE,240,.524,.481,20.9,60.0,39.8,61.1,7.8,6.3,10.9,100.0,105.1,108.5
WAS,CLE,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
WAS,CLE,240,.532,.526,40.0,79.1,60.2,64.9,4.5,6.8,14.9,100.0,108.5,105.1
MIL,DET,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
MIL,DET,240,.505,.473,23.9,67.5,44.2,60.5,12.5,0.0,7.1,100.0,109.6,101.3
MIL,DET,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
MIL,DET,240,.558,.486,32.5,76.1,55.8,61.3,3.1,17.6,20.2,100.0,101.3,109.6
LAL,GSW,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
LAL,GSW,240,.529,.483,35.8,75.0,54.5,74.4,6.1,5.8,13.3,100.0,112.1,99.8
LAL,GSW,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
LAL,GSW,240,.488,.433,25.0,64.2,45.5,52.9,6.1,6.3,9.1,100.0,99.8,112.1
NYK,MEM,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
NYK,MEM,315,.532,.474,34.0,62.3,49.1,55.0,5.4,9.6,17.2,100.0,105.8,104.9
NYK,MEM,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
NYK,MEM,315,.469,.429,37.7,66.0,50.9,33.3,5.4,9.5,9.4,100.0,104.9,105.8
SAC,MIN,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
SAC,MIN,240,.415,.365,40.7,82.9,57.3,41.9,10.9,2.7,15.3,100.0,90.3,100.0
SAC,MIN,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
SAC,MIN,240,.569,.514,17.1,59.3,42.7,54.3,7.6,11.1,19.0,100.0,100.0,90.3
TOR,NJN,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
TOR,NJN,240,.447,.415,14.0,77.5,42.2,56.8,7.6,6.8,12.7,100.0,87.7,97.2
TOR,NJN,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
TOR,NJN,240,.576,.532,22.5,86.0,57.8,70.0,1.9,8.3,20.6,100.0,97.2,87.7
CHI,ORL,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
CHI,ORL,240,.508,.488,26.8,72.7,42.9,56.8,7.5,0.0,13.9,100.0,101.4,117.5
CHI,ORL,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
CHI,ORL,240,.703,.644,27.3,73.2,57.1,60.0,7.5,13.7,22.9,100.0,117.5,101.4
ATL,PHI,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
ATL,PHI,240,.428,.359,34.7,62.5,47.2,42.3,10.7,6.6,17.0,100.0,89.2,104.6
ATL,PHI,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
ATL,PHI,240,.518,.439,37.5,65.3,52.8,61.3,11.9,9.2,15.8,100.0,104.6,89.2
LAC,PHO,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
LAC,PHO,240,.511,.449,35.4,77.1,53.0,31.6,5.3,3.8,12.1,100.0,109.2,117.6
LAC,PHO,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
LAC,PHO,240,.621,.558,22.9,64.6,47.0,51.2,5.3,9.7,14.3,100.0,117.6,109.2
POR,SEA,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
POR,SEA,240,.622,.562,34.5,66.7,54.1,32.5,6.6,9.5,13.7,100.0,120.6,116.3
POR,SEA,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
POR,SEA,240,.536,.489,33.3,65.5,45.9,56.1,9.9,5.6,11.6,100.0,116.3,120.6
HOU,UTA,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
HOU,UTA,240,.540,.500,21.7,70.3,43.4,59.4,7.7,5.8,12.6,100.0,106.1,117.0
HOU,UTA,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
