UTA,GSW,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
UTA,GSW,240,.553,.483,34.8,85.1,60.2,58.5,8.6,8.9,15.2,100.0,111.3,91.3
UTA,GSW,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
UTA,GSW,240,.512,.455,14.9,65.2,39.8,59.4,7.6,16.7,17.6,100.0,91.3,111.3
HOU,LAL,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
HOU,LAL,240,.542,.500,31.6,77.1,57.0,67.6,10.7,9.6,17.0,100.0,102.1,99.9
HOU,LAL,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
HOU,LAL,240,.485,.434,22.9,68.4,43.0,56.3,17.2,4.4,11.1,100.0,99.9,102.1
POR,SAS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
POR,SAS,240,.567,.538,22.2,72.7,50.0,38.5,1.1,6.2,15.8,100.0,105.7,115.5
POR,SAS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
POR,SAS,240,.538,.506,27.3,77.8,50.0,51.2,8.7,6.3,7.5,100.0,115.5,105.7
DAL,CLE,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
DAL,CLE,240,.591,.543,13.9,66.0,43.4,69.7,7.0,15.7,17.1,100.0,107.1,86.1
DAL,CLE,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
DAL,CLE,240,.420,.383,34.0,86.1,56.6,46.4,12.8,3.1,14.6,100.0,86.1,107.1
SEA,DEN,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
SEA,DEN,240,.477,.453,27.5,74.5,51.0,67.5,8.3,6.3,15.0,100.0,95.4,111.1
SEA,DEN,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
SEA,DEN,240,.564,.522,25.5,72.5,49.0,73.8,10.2,15.6,12.4,100.0,111.1,95.4
WAS,IND,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
WAS,IND,265,.463,.394,35.4,70.2,50.0,41.7,5.5,7.6,13.2,100.0,101.2,109.5
WAS,IND,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
WAS,IND,265,.552,.484,29.8,64.6,50.0,52.6,11.0,9.5,13.6,100.0,109.5,101.2
SAS,MEM,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
SAS,MEM,240,.538,.506,16.3,85.4,50.0,60.5,8.3,7.8,8.5,100.0,108.5,105.4
SAS,MEM,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
SAS,MEM,240,.569,.538,14.6,83.7,50.0,55.3,5.2,10.5,13.6,100.0,105.4,108.5
CHI,NJN,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
CHI,NJN,265,.479,.438,35.8,65.0,48.4,60.5,7.1,4.1,13.0,100.0,104.5,113.6
CHI,NJN,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
CHI,NJN,265,.560,.457,35.0,64.2,51.6,72.7,9.1,12.1,14.5,100.0,113.6,104.5
SAC,NOH,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
SAC,NOH,240,.506,.463,19.5,70.3,43.6,58.3,5.4,4.2,14.4,100.0,96.7,111.8
SAC,NOH,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
SAC,NOH,240,.603,.571,29.7,80.5,56.4,59.0,6.4,12.5,18.1,100.0,111.8,96.7
MIL,ORL,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
MIL,ORL,240,.429,.402,35.3,76.9,53.3,48.5,4.5,5.7,12.6,100.0,94.2,115.7
MIL,ORL,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
