BOS,CLE,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
BOS,CLE,240,36,81,.444,8,18,.444,28,31,.903,10,38,48,24,6,2,14,14,108
BOS,CLE,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
BOS,CLE,240,39,90,.433,3,17,.176,8,10,.800,7,29,36,30,3,8,13,21,89
DET,DAL,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
DET,DAL,240,30,78,.385,6,17,.353,21,24,.875,16,33,49,20,6,4,16,20,87
DET,DAL,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
DET,DAL,240,34,82,.415,8,19,.421,18,20,.900,12,30,42,24,9,4,13,20,94
ATL,HOU,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
ATL,HOU,265,30,83,.361,3,14,.214,21,27,.778,10,37,47,15,10,8,17,26,84
ATL,HOU,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
ATL,HOU,265,33,84,.393,4,18,.222,19,28,.679,14,38,52,17,10,5,16,21,89
POR,LAL,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
POR,LAL,240,31,73,.425,4,12,.333,21,27,.778,5,37,42,17,10,7,15,28,87
POR,LAL,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
POR,LAL,240,37,79,.468,7,16,.438,17,29,.586,11,34,45,22,8,7,15,21,98
PHI,MIN,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
PHI,MIN,240,27,72,.375,5,10,.500,15,23,.652,15,26,41,16,4,6,18,20,74
PHI,MIN,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
PHI,MIN,240,34,81,.420,3,9,.333,12,15,.800,13,24,37,24,9,9,10,21,83
IND,NJN,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
IND,NJN,240,37,81,.457,6,15,.400,17,20,.850,9,33,42,22,8,6,20,25,97
IND,NJN,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
IND,NJN,240,37,95,.389,6,16,.375,23,31,.742,18,29,47,24,8,7,11,23,103
WAS,NYK,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
WAS,NYK,240,36,82,.439,6,13,.462,13,18,.722,9,30,39,23,11,4,14,27,91
WAS,NYK,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
WAS,NYK,240,32,75,.427,6,20,.300,23,33,.697,13,33,46,16,7,2,17,21,93
TOR,ORL,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
TOR,ORL,240,27,75,.360,3,12,.250,28,45,.622,22,16,38,17,13,3,21,29,85
TOR,ORL,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
TOR,ORL,240,44,72,.611,4,8,.500,22,31,.710,10,27,37,23,12,7,17,31,114
DEN,PHO,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
DEN,PHO,240,35,89,.393,5,16,.313,24,35,.686,19,29,48,16,11,5,12,16,99
