Year,Kick,Team,Opponent,Kicker,Position,Keeper,Scored
1994,1,Bulgaria,Mexico,Balakov,Midfielder,Campos,FALSE
1994,2,Mexico,Bulgaria,Bernal,Midfielder,Mikhailov,FALSE
1994,2,Bulgaria,Mexico,Guentchev,Midfielder,Campos,TRUE
1994,3,Mexico,Bulgaria,Rodríguez,Midfielder,Mikhailov,FALSE
1994,3,Bulgaria,Mexico,Borimirov,Midfielder,Campos,TRUE
1994,4,Mexico,Bulgaria,Suarez,Defender,Mikhailov,TRUE
1994,4,Bulgaria,Mexico,Letchkov,Midfielder,Campos,TRUE
1994,1,Romania,Sweden,R?ducioiu,Forward,Ravelli,TRUE
1994,1,Sweden,Romania,Mild,Midfielder,Prunea,FALSE
1994,2,Romania,Sweden,Hagi,Midfielder,Ravelli,TRUE
1994,2,Sweden,Romania,Andersson,Forward,Prunea,TRUE
1994,3,Romania,Sweden,Lupescu,Midfielder,Ravelli,TRUE
1994,3,Sweden,Romania,Brolin,Midfielder,Prunea,TRUE
1994,4,Romania,Sweden,Petrescu,Defender,Ravelli,FALSE
1994,4,Sweden,Romania,Ingesson,Midfielder,Prunea,TRUE
1994,5,Romania,Sweden,Dumitrescu,Midfielder,Ravelli,TRUE
1994,5,Sweden,Romania,Nilsson,Defender,Prunea,TRUE
1994,6,Romania,Sweden,Belodedici,Midfielder,Ravelli,FALSE
1994,6,Sweden,Romania,Larsson,Forward,Prunea,TRUE
1994,1,Italy,Brasil,Baresi,Defender,Taffarel,FALSE
1994,1,Brasil,Italy,Márcio Santos,Defender,Pagliuca,FALSE
1994,2,Italy,Brasil,Albertini,Midfielder,Taffarel,TRUE
1994,2,Brasil,Italy,Romario,Forward,Pagliuca,TRUE
1994,3,Italy,Brasil,Evani,Midfielder,Taffarel,TRUE
1994,3,Brasil,Italy,Branco,Defender,Pagliuca,TRUE
1994,4,Italy,Brasil,Massaro,Forward,Taffarel,FALSE
1994,4,Brasil,Italy,Dunga,Midfielder,Pagliuca,TRUE
1994,5,Italy,Brasil,Baggio,Forward,Taffarel,FALSE
1998,1,Argentina,England,Berti,Midfielder,Seaman,TRUE
1998,1,England,Argentina,Shearer,Forward,Roa,TRUE
1998,2,Argentina,England,Crespo,Forward,Seaman,FALSE
1998,2,England,Argentina,Ince,Midfielder,Roa,FALSE
1998,3,Argentina,England,Verón,Midfielder,Seaman,TRUE
1998,3,England,Argentina,Merson,Midfielder,Roa,TRUE
1998,4,Argentina,England,Gallardo,Midfielder,Seaman,TRUE
1998,4,England,Argentina,Owen,Forward,Roa,TRUE
1998,5,Argentina,England,Ayala,Defender,Seaman,TRUE
1998,5,England,Argentina,Batty,Midfielder,Roa,FALSE
1998,1,Italy,France,Baggio,Forward,Barthez,TRUE
1998,1,France,Italy,Zidane,Midfielder,Pagliuca,TRUE
1998,2,Italy,France,Albertini,Midfielder,Barthez,FALSE
1998,2,France,Italy,Lizarazu,Defender,Pagliuca,FALSE
1998,3,Italy,France,Costacurta,Defender,Barthez,TRUE
1998,3,France,Italy,Trezeguet,Forward,Pagliuca,TRUE
1998,4,Italy,France,Vieri,Forward,Barthez,TRUE
1998,4,France,Italy,Henry,Forward,Pagliuca,TRUE
1998,5,Italy,France,Di Biagio,Midfielder,Barthez,FALSE
1998,5,France,Italy,Blanc,Defender,Pagliuca,TRUE
1998,1,Brasil,Netherlands,Ronaldo,Forward,van der Sar,TRUE
1998,1,Netherlands,Brasil,F. de Boer,Defender,Taffarel,TRUE
1998,2,Brasil,Netherlands,Rivaldo,Midfielder,van der Sar,TRUE
1998,2,Netherlands,Brasil,Bergkamp,Forward,Taffarel,TRUE
1998,3,Brasil,Netherlands,Emerson,Midfielder,van der Sar,TRUE
1998,3,Netherlands,Brasil,Cocu,Defender,Taffarel,FALSE
1998,4,Brasil,Netherlands,Dunga,Midfielder,van der Sar,TRUE
1998,4,Netherlands,Brasil,R. de Boer,Midfielder,Taffarel,FALSE
2002,1,Spain,Republic of Ireland,Hierro,Defender,Given,TRUE
2002,1,Republic of Ireland,Spain,Keane,Forward,Casillas,TRUE
2002,2,Spain,Republic of Ireland,Baraja,Midfielder,Given,TRUE
2002,2,Republic of Ireland,Spain,Holland,Midfielder,Casillas,FALSE
2002,3,Spain,Republic of Ireland,Juanfran,Defender,Given,FALSE
2002,3,Republic of Ireland,Spain,Connolly,Forward,Casillas,FALSE
2002,4,Spain,Republic of Ireland,Valerón,Midfielder,Given,FALSE
2002,4,Republic of Ireland,Spain,Kilbane,Midfielder,Casillas,FALSE
2002,5,Spain,Republic of Ireland,Mendieta ,Midfielder,Given,TRUE
2002,5,Republic of Ireland,Spain,Finnan,Defender,Casillas,TRUE
2002,1,South Korea,Spain,Hwang,Forward,Casillas,TRUE
2002,1,Spain,South Korea,Hierro,Defender,Lee,TRUE
2002,2,South Korea,Spain,Park,Forward,Casillas,TRUE
2002,2,Spain,South Korea,Baraja,Midfielder,Lee,TRUE
2002,3,South Korea,Spain,Seol,Forward,Casillas,TRUE
